column,value,count,share_pct
Loan ID,L000001,1,0.002
Loan ID,L000002,1,0.002
Loan ID,L000003,1,0.002
Loan ID,L000004,1,0.002
Loan ID,L000005,1,0.002
Loan ID,L000006,1,0.002
Loan ID,L000007,1,0.002
Loan ID,L000008,1,0.002
Loan ID,L000009,1,0.002
Loan ID,L000010,1,0.002
Loan ID,L000011,1,0.002
Loan ID,L000012,1,0.002
Loan ID,L000013,1,0.002
Loan ID,L000014,1,0.002
Loan ID,L000015,1,0.002
Loan ID,L000016,1,0.002
Loan ID,L000017,1,0.002
Loan ID,L000018,1,0.002
Loan ID,L000019,1,0.002
Loan ID,L000020,1,0.002
Loan ID,L000021,1,0.002
Loan ID,L000022,1,0.002
Loan ID,L000023,1,0.002
Loan ID,L000024,1,0.002
Loan ID,L000025,1,0.002
Loan ID,L000026,1,0.002
Loan ID,L000027,1,0.002
Loan ID,L000028,1,0.002
Loan ID,L000029,1,0.002
Loan ID,L000030,1,0.002
Loan ID,L000031,1,0.002
Loan ID,L000032,1,0.002
Loan ID,L000033,1,0.002
Loan ID,L000034,1,0.002
Loan ID,L000035,1,0.002
Loan ID,L000036,1,0.002
Loan ID,L000037,1,0.002
Loan ID,L000038,1,0.002
Loan ID,L000039,1,0.002
Loan ID,L000040,1,0.002
Loan ID,L000041,1,0.002
Loan ID,L000042,1,0.002
Loan ID,L000043,1,0.002
Loan ID,L000044,1,0.002
Loan ID,L000045,1,0.002
Loan ID,L000046,1,0.002
Loan ID,L000047,1,0.002
Loan ID,L000048,1,0.002
Loan ID,L000049,1,0.002
Loan ID,L000050,1,0.002
Loan ID,L000051,1,0.002
Loan ID,L000052,1,0.002
Loan ID,L000053,1,0.002
Loan ID,L000054,1,0.002
Loan ID,L000055,1,0.002
Loan ID,L000056,1,0.002
Loan ID,L000057,1,0.002
Loan ID,L000058,1,0.002
Loan ID,L000059,1,0.002
Loan ID,L000060,1,0.002
Loan ID,L000061,1,0.002
Loan ID,L000062,1,0.002
Loan ID,L000063,1,0.002
Loan ID,L000064,1,0.002
Loan ID,L000065,1,0.002
Loan ID,L000066,1,0.002
Loan ID,L000067,1,0.002
Loan ID,L000068,1,0.002
Loan ID,L000069,1,0.002
Loan ID,L000070,1,0.002
Loan ID,L000071,1,0.002
Loan ID,L000072,1,0.002
Loan ID,L000073,1,0.002
Loan ID,L000074,1,0.002
Loan ID,L000075,1,0.002
Loan ID,L000076,1,0.002
Loan ID,L000077,1,0.002
Loan ID,L000078,1,0.002
Loan ID,L000079,1,0.002
Loan ID,L000080,1,0.002
Loan ID,L000081,1,0.002
Loan ID,L000082,1,0.002
Loan ID,L000083,1,0.002
Loan ID,L000084,1,0.002
Loan ID,L000085,1,0.002
Loan ID,L000086,1,0.002
Loan ID,L000087,1,0.002
Loan ID,L000088,1,0.002
Loan ID,L000089,1,0.002
Loan ID,L000090,1,0.002
Loan ID,L000091,1,0.002
Loan ID,L000092,1,0.002
Loan ID,L000093,1,0.002
Loan ID,L000094,1,0.002
Loan ID,L000095,1,0.002
Loan ID,L000096,1,0.002
Loan ID,L000097,1,0.002
Loan ID,L000098,1,0.002
Loan ID,L000099,1,0.002
Loan ID,L000100,1,0.002
Loan ID,L000101,1,0.002
Loan ID,L000102,1,0.002
Loan ID,L000103,1,0.002
Loan ID,L000104,1,0.002
Loan ID,L000105,1,0.002
Loan ID,L000106,1,0.002
Loan ID,L000107,1,0.002
Loan ID,L000108,1,0.002
Loan ID,L000109,1,0.002
Loan ID,L000110,1,0.002
Loan ID,L000111,1,0.002
Loan ID,L000112,1,0.002
Loan ID,L000113,1,0.002
Loan ID,L000114,1,0.002
Loan ID,L000115,1,0.002
Loan ID,L000116,1,0.002
Loan ID,L000117,1,0.002
Loan ID,L000118,1,0.002
Loan ID,L000119,1,0.002
Loan ID,L000120,1,0.002
Loan ID,L000121,1,0.002
Loan ID,L000122,1,0.002
Loan ID,L000123,1,0.002
Loan ID,L000124,1,0.002
Loan ID,L000125,1,0.002
Loan ID,L000126,1,0.002
Loan ID,L000127,1,0.002
Loan ID,L000128,1,0.002
Loan ID,L000129,1,0.002
Loan ID,L000130,1,0.002
Loan ID,L000131,1,0.002
Loan ID,L000132,1,0.002
Loan ID,L000133,1,0.002
Loan ID,L000134,1,0.002
Loan ID,L000135,1,0.002
Loan ID,L000136,1,0.002
Loan ID,L000137,1,0.002
Loan ID,L000138,1,0.002
Loan ID,L000139,1,0.002
Loan ID,L000140,1,0.002
Loan ID,L000141,1,0.002
Loan ID,L000142,1,0.002
Loan ID,L000143,1,0.002
Loan ID,L000144,1,0.002
Loan ID,L000145,1,0.002
Loan ID,L000146,1,0.002
Loan ID,L000147,1,0.002
Loan ID,L000148,1,0.002
Loan ID,L000149,1,0.002
Loan ID,L000150,1,0.002
Loan ID,L000151,1,0.002
Loan ID,L000152,1,0.002
Loan ID,L000153,1,0.002
Loan ID,L000154,1,0.002
Loan ID,L000155,1,0.002
Loan ID,L000156,1,0.002
Loan ID,L000157,1,0.002
Loan ID,L000158,1,0.002
Loan ID,L000159,1,0.002
Loan ID,L000160,1,0.002
Loan ID,L000161,1,0.002
Loan ID,L000162,1,0.002
Loan ID,L000163,1,0.002
Loan ID,L000164,1,0.002
Loan ID,L000165,1,0.002
Loan ID,L000166,1,0.002
Loan ID,L000167,1,0.002
Loan ID,L000168,1,0.002
Loan ID,L000169,1,0.002
Loan ID,L000170,1,0.002
Loan ID,L000171,1,0.002
Loan ID,L000172,1,0.002
Loan ID,L000173,1,0.002
Loan ID,L000174,1,0.002
Loan ID,L000175,1,0.002
Loan ID,L000176,1,0.002
Loan ID,L000177,1,0.002
Loan ID,L000178,1,0.002
Loan ID,L000179,1,0.002
Loan ID,L000180,1,0.002
Loan ID,L000181,1,0.002
Loan ID,L000182,1,0.002
Loan ID,L000183,1,0.002
Loan ID,L000184,1,0.002
Loan ID,L000185,1,0.002
Loan ID,L000186,1,0.002
Loan ID,L000187,1,0.002
Loan ID,L000188,1,0.002
Loan ID,L000189,1,0.002
Loan ID,L000190,1,0.002
Loan ID,L000191,1,0.002
Loan ID,L000192,1,0.002
Loan ID,L000193,1,0.002
Loan ID,L000194,1,0.002
Loan ID,L000195,1,0.002
Loan ID,L000196,1,0.002
Loan ID,L000197,1,0.002
Loan ID,L000198,1,0.002
Loan ID,L000199,1,0.002
Loan ID,L000200,1,0.002
Loan ID,L000201,1,0.002
Loan ID,L000202,1,0.002
Loan ID,L000203,1,0.002
Loan ID,L000204,1,0.002
Loan ID,L000205,1,0.002
Loan ID,L000206,1,0.002
Loan ID,L000207,1,0.002
